7zip 26.00-1
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.3-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260410-1
aom 3.13.3-1
app2unit 1.4.0-1
apparmor 4.1.7-1
appstream 1.1.2-1
aquamarine 0.10.0-4
archlinux-keyring 20260420-1
argon2 20190702-6
at-spi2-core 2.60.1-1
atkmm 2.28.4-2
attr 2.5.2-2
aubio 0.4.9-24
audacity 1:3.7.7-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
aws-c-auth 0.10.1-1
aws-c-cal 0.9.13-1
aws-c-common 0.12.6-1
aws-c-compression 0.3.2-1
aws-c-event-stream 0.7.0-1
aws-c-http 0.10.14-1
aws-c-io 0.26.3-1
aws-c-mqtt 0.15.2-1
aws-c-s3 0.12.2-1
aws-c-sdkutils 0.2.4-1
aws-checksums 0.2.10-1
aws-crt-cpp 0.38.4-1
ayatana-ido 0.10.4-1
babl 0.1.126-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bind 9.20.22-1
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-2
bluez 5.86-5
bluez-libs 5.86-5
boost-libs 1.90.0-4
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
brotli 1.2.0-1
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.123-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
catppuccin-gtk-theme-mocha 1.0.3-1
cdparanoia 10.2-9
cliphist 1:0.7.0-2
cmake 4.3.1-1
cmatrix 2.0-4
composefs 1.0.8-1
coreutils 9.10-1
cpio 2.15-3
cppdap 1.58.0-3
cpptrace 1.0.4-1
cpptrace-debug 1.0.4-1
cronie 1.7.2-2
cryptsetup 2.8.6-1
curl 8.19.0-1
dart-sass 1.99.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.6-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
dhcpcd 10.3.1-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
dmidecode 3.7-1
dnsmasq 2.92-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
dotnet-host 10.0.4.sdk104-1
dotnet-runtime-8.0 8.0.25.sdk125-1
double-conversion 3.4.0-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
editline 1.17.1-4
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
electron37 37.5.1-1
electron39 39.5.2-1
elecwhat-bin 1.13.4-1
elfutils 0.194-2
enchant 2.8.15-2
exempi 2.6.6-3
exiv2 0.28.8-2
exo 4.20.0-2
expat 2.7.5-1
fakeroot 1.37.2-1
fastfetch 2.61.0-1
fcft 3.3.3-1
ffmpeg 2:8.1-3
fftw 3.3.10-8
figma-linux 0.11.5-0
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
firejail 0.9.80-1
fish 4.6.0-1
flac 1.5.0-1
flatpak 1:1.16.6-1
flex 2.6.4-6
fmt 12.1.0-2
font-manager 0.9.4-3
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fuzzel 1.14.1-1
fzf 0.71.0-1
gammastep 2.0.11-2
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.1-3
gdb-common 17.1-3
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gegl 0.4.70-2
gettext 1.0-2
gexiv2 0.16.0-2
giflib 6.1.3-1
gimp 3.2.4-1
git 2.53.0-1
glib-networking 1:2.80.1-1
glib2 2.88.0-1
glib2-devel 2.88.0-1
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
